,WEEK_PRI,YEAR_PRI,1,2,3,4,NONE,TOTAL,OCURENCE_1,OCURENCE_2,OCURENCE_3,OCURENCE_4
194,12,2014,0.0,0.0,0.0,0.0,17.0,17.0,0,0,0,0
195,12,2015,3.0,0.0,0.0,0.0,98.0,101.0,1,0,0,0
196,12,2016,4.0,0.0,0.0,0.0,174.0,178.0,1,0,0,0
197,12,2017,0.0,0.0,0.0,0.0,96.0,96.0,0,0,0,0
198,12,2018,0.0,0.0,0.0,0.0,143.0,143.0,0,0,0,0
199,12,2019,0.0,4.0,0.0,0.0,361.0,365.0,0,1,0,0
200,12,2020,0.0,0.0,0.0,0.0,20.0,20.0,0,0,0,0
201,12,2021,0.0,3.0,0.0,0.0,26.0,29.0,0,1,0,0
202,12,2022,2.0,13.0,0.0,0.0,97.0,112.0,1,1,0,0
203,12,2023,188.0,40.0,0.0,0.0,500.0,728.0,1,1,0,0
970,13,2000,0.0,0.0,0.0,0.0,74.0,74.0,0,0,0,0
971,13,2001,0.0,0.0,0.0,0.0,785.0,785.0,0,0,0,0
972,13,2002,0.0,0.0,0.0,0.0,3678.0,3678.0,0,0,0,0
973,13,2003,0.0,0.0,0.0,0.0,26.0,26.0,0,0,0,0
974,13,2004,0.0,0.0,0.0,0.0,4.0,4.0,0,0,0,0
975,13,2005,0.0,0.0,0.0,0.0,2.0,2.0,0,0,0,0
976,13,2006,0.0,0.0,0.0,0.0,145.0,145.0,0,0,0,0
204,13,2007,0.0,0.0,0.0,0.0,243.0,243.0,0,0,0,0
205,13,2008,0.0,11.0,0.0,0.0,3905.0,3916.0,0,1,0,0
206,13,2009,0.0,0.0,0.0,0.0,9.0,9.0,0,0,0,0
207,13,2010,0.0,0.0,0.0,0.0,31.0,31.0,0,0,0,0
208,13,2011,2.0,0.0,0.0,0.0,4367.0,4369.0,1,0,0,0
209,13,2012,0.0,0.0,0.0,10.0,2188.0,2198.0,0,0,0,1
210,13,2013,1.0,0.0,0.0,8.0,2480.0,2489.0,1,0,0,1
211,13,2014,0.0,0.0,0.0,0.0,16.0,16.0,0,0,0,0
212,13,2015,4.0,0.0,0.0,0.0,144.0,148.0,1,0,0,0
213,13,2016,2.0,0.0,0.0,0.0,296.0,298.0,1,0,0,0
214,13,2017,0.0,0.0,0.0,0.0,92.0,92.0,0,0,0,0
215,13,2018,0.0,0.0,0.0,0.0,177.0,177.0,0,0,0,0
216,13,2019,0.0,0.0,0.0,0.0,536.0,536.0,0,0,0,0
217,13,2020,0.0,0.0,0.0,0.0,28.0,28.0,0,0,0,0
218,13,2021,0.0,1.0,0.0,0.0,32.0,33.0,0,1,0,0
219,13,2022,1.0,15.0,0.0,0.0,82.0,98.0,1,1,0,0
220,13,2023,224.0,27.0,0.0,0.0,497.0,748.0,1,1,0,0
977,14,2000,0.0,0.0,0.0,0.0,80.0,80.0,0,0,0,0
978,14,2001,0.0,0.0,0.0,0.0,1210.0,1210.0,0,0,0,0
979,14,2002,0.0,0.0,0.0,0.0,2448.0,2448.0,0,0,0,0
980,14,2003,0.0,0.0,0.0,0.0,14.0,14.0,0,0,0,0
981,14,2004,0.0,0.0,0.0,0.0,8.0,8.0,0,0,0,0
982,14,2005,0.0,0.0,0.0,0.0,2.0,2.0,0,0,0,0
983,14,2006,0.0,0.0,0.0,0.0,127.0,127.0,0,0,0,0
221,14,2007,0.0,0.0,3.0,0.0,226.0,229.0,0,0,1,0
222,14,2008,0.0,3.0,0.0,0.0,3345.0,3348.0,0,1,0,0
223,14,2009,0.0,0.0,0.0,0.0,17.0,17.0,0,0,0,0
224,14,2010,0.0,0.0,0.0,0.0,32.0,32.0,0,0,0,0
225,14,2011,9.0,0.0,0.0,0.0,4610.0,4619.0,1,0,0,0
226,14,2012,0.0,0.0,0.0,19.0,2345.0,2364.0,0,0,0,1
227,14,2013,0.0,0.0,2.0,21.0,2630.0,2653.0,0,0,1,1
228,14,2014,1.0,0.0,0.0,0.0,16.0,17.0,1,0,0,0
229,14,2015,3.0,0.0,0.0,1.0,232.0,236.0,1,0,0,1
230,14,2016,1.0,0.0,0.0,0.0,353.0,354.0,1,0,0,0
231,14,2017,0.0,0.0,0.0,1.0,89.0,90.0,0,0,0,1
232,14,2018,0.0,1.0,0.0,0.0,221.0,222.0,0,1,0,0
233,14,2019,0.0,0.0,0.0,0.0,775.0,775.0,0,0,0,0
234,14,2020,0.0,0.0,0.0,0.0,27.0,27.0,0,0,0,0
235,14,2021,0.0,2.0,0.0,0.0,48.0,50.0,0,1,0,0
236,14,2022,6.0,29.0,0.0,0.0,109.0,144.0,1,1,0,0
237,14,2023,164.0,27.0,0.0,0.0,534.0,725.0,1,1,0,0
984,15,2000,0.0,0.0,0.0,0.0,91.0,91.0,0,0,0,0
985,15,2001,0.0,0.0,0.0,0.0,1143.0,1143.0,0,0,0,0
986,15,2002,0.0,0.0,0.0,0.0,1426.0,1426.0,0,0,0,0
987,15,2003,0.0,0.0,0.0,0.0,6.0,6.0,0,0,0,0
988,15,2004,0.0,0.0,0.0,0.0,2.0,2.0,0,0,0,0
